x_coord,y_coord,BRT Line,NCR_Line,Name,line_order
217694.299,9888767.861,1,1,Limuru,1
217694.299,9868767.861,1,1,Gitaru,2
225694.299,9868767.861,1,1,Uthiru,3
229694.299,9868767.861,1,1,Kangemi,4
253694.299,9868767.861,1,1,Westlands,5
254694.299,9868767.861,1,1,corner_1a,6
254694.299,9857767.861,1,1,Green Park,7
254694.299,9855767.861,1,1,Nyayo,8
254694.299,9851767.861,1,1,corner_1b,9
266694.299,9851767.861,1,1,corner_1c,10
267694.299,9851767.861,1,1,Imara Daima,11
267694.299,9847767.861,1,1,Nairobi SGR Terminus,12
282694.299,9832767.861,1,1,Athi River,13
282694.299,9824767.861,1,1,Kitengela,14
251694.299,9857767.861,2,2,KNH_2a,1
251694.299,9854767.861,2,2,corner_2g,2
250694.299,9853767.861,2,2,T-Mall,3
245694.299,9848767.861,2,2,Bomas,4
244694.299,9847767.861,2,2,corner_2h,5
244694.299,9838767.861,2,2,Rongai,6
214694.299,9843767.861,3,3,Ngong,1
222694.299,9851767.861,3,3,corner_3a,2
223694.299,9851767.861,3,3,Karen,3
231694.299,9851767.861,3,3,corner_3b,4
231694.299,9857767.861,3,3,corner_3c,5
232694.299,9857767.861,3,3,Showground,6
251694.281,9857767.891,3,3,KNH,7
253694.288,9857767.879,3,3,Kenya National Library,8
254694.292,9857767.873,3,3,Green Park,9
256694.299,9857767.861,3,3,City Square,10
257694.299,9857767.861,3,3,corner_3d,11
257694.299,9855767.861,3,3,corner_3e,12
258694.299,9855767.861,3,3,Nairobi Central Station,13
258694.299,9858767.861,3,3,Race Course,14
258694.299,9860767.861,3,3,Kariokor,15
258694.299,9862767.861,3,3,corner_3f,16
259694.299,9862767.861,3,3,Chai Rd,17
260694.299,9862767.861,3,3,Muratina St,18
261694.299,9862767.861,3,3,Melawa Rd,19
262694.299,9862767.861,3,3,Moi Air Base,20
264694.299,9862767.861,3,3,Mathare North Rd,21
266694.299,9862767.861,3,3,Outer Ring Rd,22
268694.299,9862767.861,3,3,Mutarakwa Rd,23
270694.35,9862767.924,3,3,Dandora Railway Station,24
307694.299,9862767.861,3,3,Tala,25
270694.299,9856767.861,4,4,Mama Lucy Hospital,1
270694.299,9855767.861,4,4,corner_4a,2
267694.299,9855767.861,4,4,Donholm,3
263694.299,9855767.861,4,4,Makadara,4
258694.299,9855767.861,4,4,Nairobi Central Station,5
257694.299,9855767.861,4,4,corner_4b,6
257694.299,9860767.861,4,4,corner_4c,7
240694.299,9860767.861,4,4,Yaya Center,8
231690.562,9860760.385,4,4,James Gichuru,9
227694.299,9860767.861,4,4,Kawangware,10
224694.299,9860767.861,4,4,Waithaka,11
219694.299,9860767.861,4,4,Dagoreti,12
217694.299,9862767.861,4,4,corner_4d,13
217694.299,9865767.861,4,4,Thogoto,14
217694.299,9868767.861,4,4,Gitaru,15
266694.299,9868767.861,5,5,Allsops,1
266694.299,9862767.861,5,5,Outer Ring Road,2
266694.299,9859767.861,5,5,Kangundo Road,3
266694.299,9858767.861,5,5,Umoja,4
267694.299,9858767.861,5,5,corner_5a,5
267694.299,9855767.861,5,5,Donholm,6
267694.299,9852767.861,5,5,Taj Mall,7
267694.299,9851767.861,5,5,Imara Daima,8
306694.299,9911767.861,2_1,2_1,Kenol,1
298694.299,9903767.861,2_1,2_1,Witeithie,2
289694.299,9894767.861,2_1,2_1,Juja,3
283694.299,9888767.861,2_1,2_1,Kimbo,4
280694.299,9885767.861,2_1,2_1,Ruiru,5
280694.299,9885767.861,2_2,2_2,Ruiru_2a,1
275694.299,9880767.861,2_2,2_2,corner_2a,2
275694.299,9874767.861,2_2,2_2,corner_2b,3
275694.299,9868767.861,2_2,2_2,corner_2c,4
272694.299,9868767.861,2_2,2_2,Kasarani,5
261694.299,9868767.861,2_2,2_2,Ngara,6
258694.299,9868767.861,2_2,2_2,corner_2e,7
258694.299,9867767.861,2_2,2_2,Koja Roundabout,8
258694.299,9855767.861,2_2,2_2,Nairobi Train Station,8
272694.299,9868767.861,2_3,2_3,Kasarani_2a,1
261694.299,9868767.861,2_3,2_3,Ngara_2a,2
258694.299,9868767.861,2_3,2_3,corner_2f,3
258694.299,9867767.861,2_3,2_3,Koja Roundabout_2a,4
258694.299,9855767.861,2_3,2_3,Nairobi Train Station_2a,5
257694.299,9855767.861,2_3,2_3,corner_2d,6
257694.299,9857767.861,2_3,2_3,corner_2i,7
256694.317,9857767.831,2_3,2_3,City Square Post Office,8
253694.306,9857767.849,2_3,2_3,Kenya National Library,9
252694.303,9857767.855,2_3,2_3,Uphill,10
251694.299,9857767.861,2_3,2_3,KNH,11
258694.299,9855767.861,,Line 1,Nairobi Central,1
254694.299,9855767.861,,Line 1,Nyayo,2
250694.299,9855767.861,,Line 1,Strathmore University,3
246694.299,9855767.861,,Line 1,Ngummo,4
242694.299,9855767.861,,Line 1,Mashimoni,5
238694.299,9855767.861,,Line 1,Olympic,6
233694.299,9855767.861,,Line 1,Kibera,7
229694.238,9855767.829,,Line 1,Kimbo Stage,8
225694.299,9855767.861,,Line 1,Lenana/ Riruta,9
222693.722,9858768.035,,Line 1,Mutuini,10
220693.35,9860768.159,,Line 1,Dagoretti,11
219694.299,9861767.861,,Line 1,Dagoretti Market,12
218694.299,9862767.861,,Line 1,corner_1a,13
218692.81,9865768.659,,Line 1,Thogoto,14
218692.669,9868769.138,,Line 1,Gitaru,15
218692.527,9871769.501,,Line 1,Kikuyu,16
218692.373,9875770.023,,Line 1,Nderi,17
218692.268,9880770.763,,Line 1,Muguga,18
218692.244,9884771.4,,Line 1,Tilisi Estate,19
218692.231,9888772.038,,Line 1,Limuru,20
258694.299,9855767.861,,Line 2,Nairobi Central,1
263694.299,9855767.861,,Line 2,Makadara,2
266694.299,9858767.861,,Line 2,Umoja,3
268694.308,9860767.812,,Line 2,Kariobangi South,4
270694.299,9862767.861,,Line 2,Dandora,5
272694.299,9864767.861,,Line 2,KPCU,6
274694.299,9866767.861,,Line 2,Maili Saba,7
276694.299,9868767.861,,Line 2,Mwiki,8
276694.299,9870767.861,,Line 2,Bridge,9
276694.299,9874767.861,,Line 2,Githurai,10
276694.299,9877767.861,,Line 2,Kahawa West,11
276694.299,9880767.861,,Line 2,Kenyatta University,12
279694.299,9883767.861,,Line 2,Gitambaya,13
281694.299,9885767.861,,Line 2,Ruiru,14
287694.299,9891767.861,,Line 2,Kalimoni,15
290694.299,9894767.861,,Line 2,Juja,16
299694.299,9903767.861,,Line 2,Thika East,17
303694.299,9903767.861,,Line 2,Thika South,18
307694.299,9903767.861,,Line 2,Thika,19
258694.299,9855767.861,,Line 3,Nairobi Central,1
263694.299,9855767.861,,Line 3,Makadara,2
267694.299,9855767.861,,Line 3,Donholm,3
267694.285,9851767.884,,Line 3,Imara Daima,4
267694.27,9847767.907,,Line 3,Nairobi SGR Terminus,5
276694.21,9838767.923,,Line 3,Marimbeti,6
282694.127,9832767.932,,Line 3,Athi River,7
282694.093,9824767.975,,Line 3,Kitengela,8
282694.071,9819768.002,,Line 3,Lukenya,9
258694.299,9855767.861,,Line 5,Nairobi Central,1
263694.299,9855767.861,,Line 5,Makadara,2
267694.299,9855767.861,,Line 5,Donholm,3
269694.28,9853767.865,,Line 5,Avenue Park,4
271694.262,9851767.869,,Line 5,Pipeline,5
275694.299,9851767.861,,Line 5,Aviation,6
279694.299,9851767.861,,Line 5,Embakasi Village,7
258694.299,9855767.861,,Line 8,Nairobi Central,1
254694.299,9855767.861,,Line 8,Nyayo,2
250694.299,9855767.861,,Line 8,Strathmore University,3
246694.299,9855767.861,,Line 8,Ngummo,4
242694.299,9855767.861,,Line 8,Mashimoni,5
238694.299,9855767.861,,Line 8,Olympic,6
233694.299,9855767.861,,Line 8,Kibera,7
229694.299,9855767.861,,Line 8,Kimbo Stage,8
225694.299,9855767.861,,Line 8,Lenana/ Riruta,9
221694.305,9851767.352,,Line 8,Karen,10
217694.119,9847766.536,,Line 8,Bul-Bul,11
213693.976,9843765.508,,Line 8,Ngong,12
